,annotation_id,annotator,created_at,id,image,label,lead_time,updated_at
0,1,1,2023-07-21T15:14:29.377331Z,1,gs75589_Frame_10.jpg,"[{""x"":37.5,""y"":38.88888888888889,""width"":6.114130434782609,""height"":8.454106280193237,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":59.782608695652165,""y"":40.82125603864734,""width"":4.076086956521753,""height"":6.521739130434781,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",50.331,2023-07-21T15:14:29.377367Z
1,2,1,2023-07-21T15:15:28.783308Z,2,gs75589_Frame_10.jpg,"[{""x"":37.36413043478261,""y"":39.855072463768124,""width"":5.978260869565219,""height"":7.487922705314006,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":59.78260869565217,""y"":41.06280193236715,""width"":4.619565217391312,""height"":5.797101449275367,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",58.851,2023-07-21T15:15:28.783344Z
2,3,1,2023-07-21T15:15:45.296154Z,3,gs75589_Frame_11.jpg,"[{""x"":37.22826086956522,""y"":39.371980676328505,""width"":6.657608695652172,""height"":8.212560386473434,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":59.64673913043478,""y"":40.09661835748793,""width"":5.027173913043484,""height"":7.729468599033822,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",15.946,2023-07-21T15:15:45.296196Z
3,4,1,2023-07-21T15:16:07.505088Z,4,gs75589_Frame_12.jpg,"[{""x"":37.5,""y"":39.855072463768124,""width"":5.842391304347828,""height"":7.0048309178743935,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":60.05434782608695,""y"":41.54589371980677,""width"":4.7554347826087024,""height"":6.280193236714979,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",21.718,2023-07-21T15:16:07.505126Z
4,5,1,2023-07-21T15:16:24.876102Z,5,gs75589_Frame_13.jpg,"[{""x"":37.22826086956522,""y"":39.613526570048315,""width"":6.385869565217391,""height"":7.487922705314006,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":59.5108695652174,""y"":40.82125603864735,""width"":4.6195652173912904,""height"":5.555555555555557,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",16.82,2023-07-21T15:16:24.876134Z
5,6,1,2023-07-21T15:16:41.660817Z,6,gs75589_Frame_14.jpg,"[{""x"":37.36413043478261,""y"":39.613526570048315,""width"":6.25,""height"":7.487922705314006,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":59.91847826086957,""y"":41.30434782608696,""width"":4.076086956521742,""height"":4.347826086956523,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",15.849,2023-07-21T15:16:41.660853Z
6,7,1,2023-07-21T15:16:57.058256Z,7,gs75589_Frame_15.jpg,"[{""x"":37.36413043478261,""y"":39.1304347826087,""width"":6.25,""height"":8.212560386473427,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":59.64673913043478,""y"":40.09661835748793,""width"":4.619565217391312,""height"":6.763285024154591,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",14.852,2023-07-21T15:16:57.058292Z
7,8,1,2023-07-21T15:17:13.032425Z,8,gs75589_Frame_16.jpg,"[{""x"":37.22826086956522,""y"":39.371980676328505,""width"":5.842391304347828,""height"":7.729468599033815,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":60.05434782608695,""y"":40.82125603864735,""width"":3.8043478260869605,""height"":5.797101449275367,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",15.447,2023-07-21T15:17:13.032461Z
8,9,1,2023-07-21T15:17:31.126590Z,9,gs75589_Frame_17.jpg,"[{""x"":37.63586956521739,""y"":39.371980676328505,""width"":5.978260869565219,""height"":8.454106280193244,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":59.91847826086957,""y"":40.82125603864735,""width"":3.8043478260869463,""height"":5.797101449275367,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",17.574,2023-07-21T15:17:31.126623Z
9,10,1,2023-07-21T15:18:34.377863Z,10,gs75589_Frame_18.jpg,"[{""x"":37.09239130434783,""y"":39.613526570048315,""width"":6.385869565217391,""height"":7.729468599033815,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":60.05434782608695,""y"":40.579710144927546,""width"":4.21195652173914,""height"":5.79710144927536,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",62.722,2023-07-21T15:18:34.377926Z
